ticker,name,sector
7203.T,トヨタ自動車,輸送用機器
7267.T,ホンダ,輸送用機器
7269.T,スズキ,輸送用機器
7270.T,SUBARU,輸送用機器
7201.T,日産自動車,輸送用機器
6758.T,ソニーグループ,電気機器
6861.T,キーエンス,電気機器
6501.T,日立製作所,電気機器
6502.T,東芝,電気機器
6503.T,三菱電機,電気機器
6701.T,NEC,電気機器
6702.T,富士通,電気機器
6752.T,パナソニックHD,電気機器
6753.T,シャープ,電気機器
6954.T,ファナック,電気機器
6594.T,ニデック,電気機器
6098.T,リクルートHD,サービス業
6920.T,レーザーテック,電気機器
8035.T,東京エレクトロン,電気機器
6857.T,アドバンテスト,電気機器
6273.T,SMC,機械
6367.T,ダイキン工業,機械
6201.T,豊田自動織機,輸送用機器
6981.T,村田製作所,電気機器
6770.T,アルプスアルパイン,電気機器
9984.T,ソフトバンクグループ,情報・通信業
9433.T,KDDI,情報・通信業
9432.T,日本電信電話,情報・通信業
9434.T,ソフトバンク,情報・通信業
4063.T,信越化学工業,化学
4005.T,住友化学,化学
4188.T,三菱ケミカルG,化学
4452.T,花王,化学
4901.T,富士フイルムHD,化学
4911.T,資生堂,化学
4519.T,中外製薬,医薬品
4502.T,武田薬品工業,医薬品
4503.T,アステラス製薬,医薬品
4523.T,エーザイ,医薬品
4568.T,第一三共,医薬品
4151.T,協和キリン,医薬品
4507.T,塩野義製薬,医薬品
8306.T,三菱UFJFG,銀行業
8316.T,三井住友FG,銀行業
8411.T,みずほFG,銀行業
8308.T,りそなHD,銀行業
8473.T,SBIHD,証券・先物
8604.T,野村HD,証券・先物
8601.T,大和証券G本社,証券・先物
8766.T,東京海上HD,保険業
8725.T,MS&ADインシュアランス,保険業
8630.T,SOMPOHD,保険業
8591.T,オリックス,その他金融業
8697.T,日本取引所グループ,その他金融業
8801.T,三井不動産,不動産業
8802.T,三菱地所,不動産業
8830.T,住友不動産,不動産業
3289.T,東急不動産HD,不動産業
8001.T,伊藤忠商事,卸売業
8002.T,丸紅,卸売業
8031.T,三井物産,卸売業
8053.T,住友商事,卸売業
8058.T,三菱商事,卸売業
3382.T,セブン&アイHD,小売業
9983.T,ファーストリテイリング,小売業
3092.T,ZOZO,小売業
3099.T,三越伊勢丹HD,小売業
8267.T,イオン,小売業
2914.T,日本たばこ産業,食料品
2502.T,アサヒグループHD,食料品
2503.T,キリンHD,食料品
2802.T,味の素,食料品
2269.T,明治HD,食料品
2801.T,キッコーマン,食料品
2897.T,日清食品HD,食料品
2587.T,サントリー食品インターナショナル,食料品
9020.T,東日本旅客鉄道,陸運業
9021.T,西日本旅客鉄道,陸運業
9022.T,東海旅客鉄道,陸運業
9202.T,ANAHD,空運業
9201.T,日本航空,空運業
9101.T,日本郵船,海運業
9104.T,商船三井,海運業
9107.T,川崎汽船,海運業
5401.T,日本製鉄,鉄鋼
5411.T,JFEHD,鉄鋼
5713.T,住友金属鉱山,非鉄金属
5802.T,住友電気工業,非鉄金属
5803.T,フジクラ,非鉄金属
7011.T,三菱重工業,機械
7012.T,川崎重工業,機械
7013.T,IHI,機械
7751.T,キヤノン,電気機器
7733.T,オリンパス,精密機器
7741.T,HOYA,精密機器
4661.T,オリエンタルランド,サービス業
9735.T,セコム,サービス業
9613.T,NTTデータグループ,情報・通信業
4307.T,野村総合研究所,情報・通信業
9697.T,カプコン,情報・通信業
7974.T,任天堂,その他製品
7832.T,バンダイナムコHD,その他製品
9766.T,コナミグループ,情報・通信業
3659.T,ネクソン,情報・通信業
4751.T,サイバーエージェント,サービス業
4385.T,メルカリ,サービス業
3769.T,GMOペイメントゲートウェイ,情報・通信業
4684.T,オービック,情報・通信業
6178.T,日本郵政,サービス業
9501.T,東京電力HD,電気・ガス業
9502.T,中部電力,電気・ガス業
9503.T,関西電力,電気・ガス業
9531.T,東京ガス,電気・ガス業
9532.T,大阪ガス,電気・ガス業
5020.T,ENEOSHD,石油・石炭製品
5108.T,ブリヂストン,ゴム製品
1925.T,大和ハウス工業,建設業
1928.T,積水ハウス,建設業
1801.T,大成建設,建設業
1802.T,大林組,建設業
1803.T,清水建設,建設業
1808.T,長谷工コーポレーション,建設業
1812.T,鹿島建設,建設業
5101.T,横浜ゴム,ゴム製品
5108.T,ブリヂストン,ゴム製品
5333.T,日本碍子,ガラス・土石製品
5301.T,東海カーボン,ガラス・土石製品
4324.T,電通グループ,サービス業
2432.T,ディー・エヌ・エー,サービス業
2371.T,カカクコム,情報・通信業
3064.T,MonotaRO,小売業
3088.T,マツキヨココカラ&カンパニー,小売業
8252.T,丸井グループ,小売業
